Model,Accuracy,F1 Score
random_forest,0.5247933884297521,0.676056338028169
hybrid_model_xg_rf,0.5330578512396694,0.6565349544072948
catboost,0.5041322314049587,0.6491228070175439
xgboost,0.5371900826446281,0.643312101910828
lightgbm,0.512396694214876,0.63125
decision_tree,0.49586776859504134,0.6013071895424836
stacking,0.5041322314049587,0.3684210526315789
